,column,description,dtype,missing_percentage,unique_count,example_values
0,id,A unique LC assigned ID for the loan listing.,object,0.0,2260701,"[68407277, 68355089, 68341763, 66310712, 68476807]"
1,member_id,A unique LC assigned Id for the borrower member.,float64,100.0,0,[]
2,loan_amnt,"The listed amount of the loan applied for by the borrower. If at some point in time, the credit department reduces the loan amount, then it will be reflected in this value.",float64,0.0,1572,"[3600.0, 24700.0, 20000.0, 35000.0, 10400.0]"
3,funded_amnt,The total amount committed to that loan at that point in time.,float64,0.0,1572,"[3600.0, 24700.0, 20000.0, 35000.0, 10400.0]"
4,funded_amnt_inv,The total amount committed by investors for that loan at that point in time.,float64,0.0,10057,"[3600.0, 24700.0, 20000.0, 35000.0, 10400.0]"
5,term,The number of payments on the loan. Values are in months and can be either 36 or 60.,str,0.0,2,"[' 36 months', ' 60 months']"
6,int_rate,Interest Rate on the loan,float64,0.0,673,"[13.99, 11.99, 10.78, 14.85, 22.45]"
7,installment,The monthly payment owed by the borrower if the loan originates.,float64,0.0,93301,"[123.03, 820.28, 432.66, 829.9, 289.91]"
8,grade,LC assigned loan grade,str,0.0,7,"['C', 'B', 'F', 'A', 'E']"
9,sub_grade,LC assigned loan subgrade,str,0.0,35,"['C4', 'C1', 'B4', 'C5', 'F1']"
10,emp_title,The job title supplied by the Borrower when applying for the loan.*,str,7.39,512694,"['leadman', 'Engineer', 'truck driver', 'Information Systems Officer', 'Contract Specialist']"
11,emp_length,Employment length in years. Possible values are between 0 and 10 where 0 means less than one year and 10 means ten or more years.,str,6.5,11,"['10+ years', '3 years', '4 years', '6 years', '1 year']"
12,home_ownership,"The home ownership status provided by the borrower during registration or obtained from the credit report. Our values are: RENT, OWN, MORTGAGE, OTHER",str,0.0,6,"['MORTGAGE', 'RENT', 'OWN', 'ANY', 'NONE']"
13,annual_inc,The self-reported annual income provided by the borrower during registration.,float64,0.0,89368,"[55000.0, 65000.0, 63000.0, 110000.0, 104433.0]"
14,verification_status,"Indicates if income was verified by LC, not verified, or if the income source was verified",str,0.0,3,"['Not Verified', 'Source Verified', 'Verified']"
15,issue_d,The month which the loan was funded,str,0.0,139,"['Dec-2015', 'Nov-2015', 'Oct-2015', 'Sep-2015', 'Aug-2015']"
16,loan_status,Current status of the loan,str,0.0,9,"['Fully Paid', 'Current', 'Charged Off', 'In Grace Period', 'Late (31-120 days)']"
17,pymnt_plan,Indicates if a payment plan has been put in place for the loan,str,0.0,2,"['n', 'y']"
18,url,URL for the LC page with listing data.,str,0.0,2260668,"['https://lendingclub.com/browse/loanDetail.action?loan_id=68407277', 'https://lendingclub.com/browse/loanDetail.action?loan_id=68355089', 'https://lendingclub.com/browse/loanDetail.action?loan_id=68341763', 'https://lendingclub.com/browse/loanDetail.action?loan_id=66310712', 'https://lendingclub.com/browse/loanDetail.action?loan_id=68476807']"
19,desc,Loan description provided by the borrower,str,94.42,124500,"['We knew that using our credit cards to finance an adoption would squeeze us, but then medical and other unexpected expenses made the situation almost impossible. We are a stable family in a stable community. We just need to break a cycle of debt that is getting worse.', ""I had a bad year two years ago, with some late and missed payments. I'm doing much better now, but I've got fees and some higher interest bits that have added up on top of the other stuff, and it's a little crazy. I'm hoping doing it thru Lending Club will make it easier - and cheaper - to pay off."", ""Lenders,  I have the ability to pay off my current debt but, would like the ability to be able to put some extra money off to the side and build my personal savings account.  The lower interest rate of roughly 7% would enable me to do that.  I'm willing to share my credit report to anyone that is willing to help out. Please consider my application.  Thank you,"", ' I paid off my first Prosper loan, but had an emergency and took out a second Prosper loan, but at a very high interest rate - and I would like the opportunity to get the interest rate lowered.  This loan would be used to pay off the second Prosper Loan.  ', ' ']"
20,purpose,A category provided by the borrower for the loan request.,str,0.0,14,"['debt_consolidation', 'small_business', 'home_improvement', 'major_purchase', 'credit_card']"
21,title,The loan title provided by the borrower,str,1.03,63154,"['Debt consolidation', 'Business', 'Major purchase', 'Credit card refinancing', 'Home improvement']"
22,zip_code,The first 3 numbers of the zip code provided by the borrower in the loan application.,str,0.0,956,"['190xx', '577xx', '605xx', '076xx', '174xx']"
23,addr_state,The state provided by the borrower in the loan application,str,0.0,51,"['PA', 'SD', 'IL', 'NJ', 'GA']"
24,dti,"A ratio calculated using the borrower’s total monthly debt payments on the total debt obligations, excluding mortgage and the requested LC loan, divided by the borrower’s self-reported monthly income.",float64,0.08,10845,"[5.91, 16.06, 10.78, 17.06, 25.37]"
25,delinq_2yrs,The number of 30+ days past-due incidences of delinquency in the borrower's credit file for the past 2 years,float64,0.0,37,"[0.0, 1.0, 2.0, 3.0, 4.0]"
26,earliest_cr_line,The month the borrower's earliest reported credit line was opened,str,0.0,754,"['Aug-2003', 'Dec-1999', 'Aug-2000', 'Sep-2008', 'Jun-1998']"
27,fico_range_low,The lower boundary range the borrower’s FICO at loan origination belongs to.,float64,0.0,48,"[675.0, 715.0, 695.0, 785.0, 690.0]"
28,fico_range_high,The upper boundary range the borrower’s FICO at loan origination belongs to.,float64,0.0,48,"[679.0, 719.0, 699.0, 789.0, 694.0]"
29,inq_last_6mths,The number of inquiries in past 6 months (excluding auto and mortgage inquiries),float64,0.0,28,"[1.0, 4.0, 0.0, 3.0, 2.0]"
30,mths_since_last_delinq,The number of months since the borrower's last delinquency.,float64,51.25,173,"[30.0, 6.0, 12.0, 49.0, 3.0]"
31,mths_since_last_record,The number of months since the last public record.,float64,84.11,129,"[106.0, 75.0, 30.0, 2.0, 66.0]"
32,open_acc,The number of open credit lines in the borrower's credit file.,float64,0.0,91,"[7.0, 22.0, 6.0, 13.0, 12.0]"
33,pub_rec,Number of derogatory public records,float64,0.0,43,"[0.0, 1.0, 2.0, 3.0, 5.0]"
34,revol_bal,Total credit revolving balance,float64,0.0,102251,"[2765.0, 21470.0, 7869.0, 7802.0, 21929.0]"
35,revol_util,"Revolving line utilization rate, or the amount of credit the borrower is using relative to all available revolving credit.",float64,0.08,1430,"[29.7, 19.2, 56.2, 11.6, 64.5]"
36,total_acc,The total number of credit lines currently in the borrower's credit file,float64,0.0,152,"[13.0, 38.0, 18.0, 17.0, 35.0]"
37,initial_list_status,"The initial listing status of the loan. Possible values are – W, F",str,0.0,2,"['w', 'f']"
38,out_prncp,Remaining outstanding principal for total amount funded,float64,0.0,356141,"[0.0, 15897.65, 9912.88, 7080.7, 9580.2]"
39,out_prncp_inv,Remaining outstanding principal for portion of total amount funded by investors,float64,0.0,368481,"[0.0, 15897.65, 9912.88, 7080.7, 9580.2]"
40,total_pymnt,Payments received to date for total amount funded,float64,0.0,1633866,"[4421.723916800001, 25679.66, 22705.924293878397, 31464.01, 11740.5]"
41,total_pymnt_inv,Payments received to date for portion of total amount funded by investors,float64,0.0,1311099,"[4421.72, 25679.66, 22705.92, 31464.01, 11740.5]"
42,total_rec_prncp,Principal received to date,float64,0.0,486463,"[3600.0, 24700.0, 20000.0, 19102.35, 10400.0]"
43,total_rec_int,Interest received to date,float64,0.0,635921,"[821.72, 979.66, 2705.92, 12361.66, 1340.5]"
44,total_rec_late_fee,Late fees received to date,float64,0.0,18375,"[0.0, 22.59, 161.46, 67.28, 16.6]"
45,recoveries,post charge off gross recovery,float64,0.0,132777,"[0.0, 1618.9, 368.37, 5558.6, 1495.9]"
46,collection_recovery_fee,post charge off collection fee,float64,0.0,146222,"[0.0, 291.402, 66.3066, 1000.548, 269.262]"
47,last_pymnt_d,Last month payment was received,str,0.11,136,"['Jan-2019', 'Jun-2016', 'Jun-2017', 'Feb-2019', 'Jul-2016']"
48,last_pymnt_amnt,Last total payment amount received,float64,0.0,704467,"[122.67, 926.35, 15813.3, 829.9, 10128.96]"
49,next_pymnt_d,Next scheduled payment date,str,59.51,106,"['Apr-2019', 'Mar-2019', 'Dec-2018', 'Sep-2018', 'May-2019']"
50,last_credit_pull_d,The most recent month LC pulled credit for this loan,str,0.0,141,"['Mar-2019', 'Mar-2018', 'May-2017', 'Nov-2018', 'Sep-2018']"
51,last_fico_range_high,The upper boundary range the borrower’s last FICO pulled belongs to.,float64,0.0,72,"[564.0, 699.0, 704.0, 679.0, 759.0]"
52,last_fico_range_low,The lower boundary range the borrower’s last FICO pulled belongs to.,float64,0.0,71,"[560.0, 695.0, 700.0, 675.0, 755.0]"
53,collections_12_mths_ex_med,Number of collections in 12 months excluding medical collections,float64,0.01,16,"[0.0, 1.0, 2.0, 3.0, 4.0]"
54,mths_since_last_major_derog,Months since most recent 90-day or worse rating,float64,74.31,183,"[30.0, 3.0, 75.0, 54.0, 33.0]"
55,policy_code,"publicly available policy_code=1
new products not publicly available policy_code=2",float64,0.0,1,[1.0]
56,application_type,Indicates whether the loan is an individual application or a joint application with two co-borrowers,str,0.0,2,"['Individual', 'Joint App']"
57,annual_inc_joint,The combined self-reported annual income provided by the co-borrowers during registration,float64,94.66,17633,"[71000.0, 100000.0, 77000.0, 113314.0, 117000.0]"
58,dti_joint,"A ratio calculated using the co-borrowers' total monthly payments on the total debt obligations, excluding mortgages and the requested LC loan, divided by the co-borrowers' combined self-reported monthly income",float64,94.66,4018,"[13.85, 16.4, 15.4, 25.44, 22.76]"
59,verification_status_joint,"Indicates if the co-borrowers' joint income was verified by LC, not verified, or if the income source was verified",str,94.88,3,"['Not Verified', 'Verified', 'Source Verified']"
60,acc_now_delinq,The number of accounts on which the borrower is now delinquent.,float64,0.0,9,"[0.0, 1.0, 2.0, 4.0, 3.0]"
61,tot_coll_amt,Total collection amounts ever owed,float64,3.11,15574,"[722.0, 0.0, 8341.0, 60.0, 1830.0]"
62,tot_cur_bal,Total current balance of all accounts,float64,3.11,487688,"[144904.0, 204396.0, 189699.0, 301500.0, 331730.0]"
63,open_acc_6m,Number of open trades in last 6 months,float64,38.31,19,"[2.0, 1.0, 0.0, 3.0, 6.0]"
64,open_act_il,Number of currently active installment trades,float64,38.31,54,"[2.0, 1.0, 3.0, 5.0, 7.0]"
65,open_il_12m,Number of installment accounts opened in past 12 months,float64,38.31,19,"[0.0, 2.0, 1.0, 3.0, 4.0]"
66,open_il_24m,Number of installment accounts opened in past 24 months,float64,38.31,31,"[1.0, 4.0, 3.0, 0.0, 2.0]"
67,mths_since_rcnt_il,Months since most recent installment accounts opened,float64,40.25,405,"[21.0, 19.0, 23.0, 14.0, 338.0]"
68,total_bal_il,Total current balance of all installment accounts,float64,38.31,162249,"[4981.0, 18005.0, 10827.0, 12609.0, 73839.0]"
69,il_util,Ratio of total current balance to high credit/credit limit on all install acct,float64,47.28,280,"[36.0, 73.0, 70.0, 84.0, 99.0]"
70,open_rv_12m,Number of revolving trades opened in past 12 months,float64,38.31,29,"[3.0, 2.0, 0.0, 1.0, 4.0]"
71,open_rv_24m,Number of revolving trades opened in past 24 months,float64,38.31,50,"[3.0, 2.0, 1.0, 7.0, 0.0]"
72,max_bal_bc,Maximum current balance owed on all revolving accounts,float64,38.31,33726,"[722.0, 6472.0, 2081.0, 6987.0, 9702.0]"
73,all_util,Balance to credit limit on all trades,float64,38.32,188,"[34.0, 29.0, 65.0, 45.0, 78.0]"
74,total_rev_hi_lim,Total revolving high credit/credit limit,float64,3.11,34220,"[9300.0, 111800.0, 14000.0, 67300.0, 34000.0]"
75,inq_fi,Number of personal finance inquiries,float64,38.31,33,"[3.0, 0.0, 2.0, 1.0, 5.0]"
76,total_cu_tl,Number of finance trades,float64,38.31,62,"[1.0, 0.0, 5.0, 2.0, 3.0]"
77,inq_last_12m,Number of credit inquiries in past 12 months,float64,38.31,48,"[4.0, 6.0, 1.0, 0.0, 3.0]"
78,acc_open_past_24mths,Number of trades opened in past 24 months.,float64,2.21,57,"[4.0, 6.0, 2.0, 10.0, 0.0]"
79,avg_cur_bal,Average current balance of all accounts,float64,3.11,88597,"[20701.0, 9733.0, 31617.0, 23192.0, 27644.0]"
80,bc_open_to_buy,Total open to buy on revolving bankcards.,float64,3.32,91500,"[1506.0, 57830.0, 2737.0, 54962.0, 4567.0]"
81,bc_util,Ratio of total current balance to high credit/credit limit for all bankcard accounts.,float64,3.37,1494,"[37.2, 27.1, 55.9, 12.1, 77.5]"
